STNAME,COUNTY/METRO,total_houses,renter_houses,percent_rent,min_wage,mean_rent_wage,studio,one_bed,two_bed,three_bed,four_bed,median_rent_income,med_income_afford,min_wage_afford,full_time_afford
California,Sonoma County,"189,043","76,269",40,$11.00,$17.52,"$1,224","$1,420","$1,843","$2,681","$3,246","$49,140","$1,229",$572,$911
California,Stanislaus County,"170,328","73,980",43,$11.00,$14.12,$727,$809,"$1,035","$1,478","$1,772","$35,149",$879,$572,$734
California,Sutter County,"32,028","13,738",43,$11.00,$12.30,$674,$678,$887,"$1,290","$1,562","$35,822",$896,$572,$639
California,Tehama County,"23,573","7,929",34,$11.00,$13.04,$563,$617,$820,"$1,115","$1,119","$28,299",$707,$572,$678
California,Trinity County,"5,468","1,772",32,$11.00,$9.04,$582,$637,$847,"$1,217","$1,492","$21,534",$538,$572,$470
California,Tulare County,"134,153","58,392",44,$11.00,$11.65,$629,$633,$842,"$1,194","$1,396","$29,752",$744,$572,$606
California,Tuolumne County,"22,083","7,099",32,$11.00,$11.43,$654,$746,$957,"$1,315","$1,496","$31,890",$797,$572,$594
California,Ventura County,"269,338","98,461",37,$11.00,$17.19,"$1,109","$1,308","$1,739","$2,455","$2,938","$54,151","$1,354",$572,$894
California,Yolo County,"72,544","35,350",49,$11.00,$14.40,$848,$905,"$1,203","$1,706","$2,119","$37,280",$932,$572,$749
California,Yuba County,"25,655","10,691",42,$11.00,$13.67,$674,$678,$887,"$1,290","$1,562","$31,922",$798,$572,$711
